year;month;wage;spected_wage
2023;Maio;1320.00;6652.09
2023;Abril;1302.00;6676.11
2023;Março;1302.00;6571.52
2023;Fevereiro;1302.00;6547.58
2023;Janeiro;1302.00;6641.58
2022;Dezembro;1212.00;6647.63
2022;Novembro;1212.00;6575.30
2022;Outubro;1212.00;6458.86
2022;Setembro;1212.00;6306.97
2022;Agosto;1212.00;6298.91
2022;Julho;1212.00;6388.55
2022;Junho;1212.00;6527.67
2022;Maio;1212.00;6535.40
2022;Abril;1212.00;6754.33
2022;Março;1212.00;6394.76
2022;Fevereiro;1212.00;6012.18
2022;Janeiro;1212.00;5997.14
2021;Dezembro;1100.00;5800.98
2021;Novembro;1100.00;5969.17
2021;Outubro;1100.00;5886.50
2021;Setembro;1100.00;5657.66
2021;Agosto;1100.00;5583.90
2021;Julho;1100.00;5518.79
2021;Junho;1100.00;5421.84
2021;Maio;1100.00;5351.11
2021;Abril;1100.00;5330.69
2021;Março;1100.00;5315.74
2021;Fevereiro;1100.00;5375.05
2021;Janeiro;1100.00;5495.52
2020;Dezembro;1045.00;5304.90
2020;Novembro;1045.00;5289.53
2020;Outubro;1045.00;5005.91
2020;Setembro;1045.00;4892.75
2020;Agosto;1045.00;4536.12
2020;Julho;1045.00;4420.11
2020;Junho;1045.00;4595.60
2020;Maio;1045.00;4694.57
2020;Abril;1045.00;4673.06
2020;Março;1045.00;4483.20
2020;Fevereiro;1045.00;4366.51
2020;Janeiro;1039.00;4347.61
2019;Dezembro;998.00;4342.57
2019;Novembro;998.00;4021.39
2019;Outubro;998.00;3978.63
2019;Setembro;998.00;3980.82
2019;Agosto;998.00;4044.58
2019;Julho;998.00;4143.55
2019;Junho;998.00;4214.62
2019;Maio;998.00;4259.90
2019;Abril;998.00;4385.75
2019;Março;998.00;4277.04
2019;Fevereiro;998.00;4052.65
2019;Janeiro;998.00;3928.73
2018;Dezembro;954.00;3960.57
2018;Novembro;954.00;3959.98
2018;Outubro;954.00;3783.39
2018;Setembro;954.00;3658.39
2018;Agosto;954.00;3636.04
2018;Julho;954.00;3674.77
2018;Junho;954.00;3804.06
2018;Maio;954.00;3747.10
2018;Abril;954.00;3696.95
2018;Março;954.00;3706.44
2018;Fevereiro;954.00;3682.67
2018;Janeiro;954.00;3752.65
2017;Dezembro;937.00;3585.05
2017;Novembro;937.00;3731.39
2017;Outubro;937.00;3754.16
2017;Setembro;937.00;3668.55
2017;Agosto;937.00;3744.83
2017;Julho;937.00;3810.36
2017;Junho;937.00;3727.19
2017;Maio;937.00;3869.92
2017;Abril;937.00;3899.66
2017;Março;937.00;3673.09
2017;Fevereiro;937.00;3658.72
2017;Janeiro;937.00;3811.29
2016;Dezembro;880.00;3856.23
2016;Novembro;880.00;3940.41
2016;Outubro;880.00;4016.27
2016;Setembro;880.00;4013.08
2016;Agosto;880.00;3991.40
2016;Julho;880.00;3992.75
2016;Junho;880.00;3940.24
2016;Maio;880.00;3777.93
2016;Abril;880.00;3716.77
2016;Março;880.00;3736.26
2016;Fevereiro;880.00;3725.01
2016;Janeiro;880.00;3795.24
2015;Dezembro;788.00;3518.51
2015;Novembro;788.00;3399.22
2015;Outubro;788.00;3210.28
2015;Setembro;788.00;3240.27
2015;Agosto;788.00;3258.16
2015;Julho;788.00;3325.37
2015;Junho;788.00;3299.66
2015;Maio;788.00;3377.62
2015;Abril;788.00;3251.61
2015;Março;788.00;3186.92
2015;Fevereiro;788.00;3182.81
2015;Janeiro;788.00;3118.62
2014;Dezembro;724.00;2975.55
2014;Novembro;724.00;2923.22
2014;Outubro;724.00;2967.07
2014;Setembro;724.00;2862.73
2014;Agosto;724.00;2861.55
2014;Julho;724.00;2915.07
2014;Junho;724.00;2979.25
2014;Maio;724.00;3079.31
2014;Abril;724.00;3019.07
2014;Março;724.00;2992.19
2014;Fevereiro;724.00;2778.63
2014;Janeiro;724.00;2748.22
2013;Dezembro;678.00;2765.44
2013;Novembro;678.00;2761.58
2013;Outubro;678.00;2729.24
2013;Setembro;678.00;2621.70
2013;Agosto;678.00;2685.47
2013;Julho;678.00;2750.83
2013;Junho;678.00;2860.21
2013;Maio;678.00;2873.56
2013;Abril;678.00;2892.47
2013;Março;678.00;2824.92
2013;Fevereiro;678.00;2743.69
2013;Janeiro;678.00;2674.88
2012;Dezembro;622.00;2561.47
2012;Novembro;622.00;2514.09
2012;Outubro;622.00;2617.33
2012;Setembro;622.00;2616.41
2012;Agosto;622.00;2589.78
2012;Julho;622.00;2519.97
2012;Junho;622.00;2416.38
2012;Maio;622.00;2383.28
2012;Abril;622.00;2329.35
2012;Março;622.00;2295.58
2012;Fevereiro;622.00;2323.21
2012;Janeiro;622.00;2398.82
2011;Dezembro;545.00;2329.35
2011;Novembro;545.00;2349.26
2011;Outubro;545.00;2329.94
2011;Setembro;545.00;2285.83
2011;Agosto;545.00;2278.77
2011;Julho;545.00;2212.66
2011;Junho;545.00;2297.51
2011;Maio;545.00;2293.31
2011;Abril;545.00;2255.84
2011;Março;545.00;2247.94
2011;Fevereiro;540.00;2194.18
2011;Janeiro;540.00;2194.76
2010;Dezembro;510.00;2227.53
2010;Novembro;510.00;2222.99
2010;Outubro;510.00;2132.09
2010;Setembro;510.00;2047.58
2010;Agosto;510.00;2023.89
2010;Julho;510.00;2011.03
2010;Junho;510.00;2092.36
2010;Maio;510.00;2157.88
2010;Abril;510.00;2257.52
2010;Março;510.00;2159.65
2010;Fevereiro;510.00;2003.30
2010;Janeiro;510.00;1987.26
2009;Dezembro;465.00;1995.91
2009;Novembro;465.00;2139.06
2009;Outubro;465.00;2085.89
2009;Setembro;465.00;2065.47
2009;Agosto;465.00;2005.07
2009;Julho;465.00;1994.82
2009;Junho;465.00;2046.99
2009;Maio;465.00;2045.06
2009;Abril;465.00;1972.64
2009;Março;465.00;2005.57
2009;Fevereiro;465.00;2075.55
2009;Janeiro;415.00;2077.15
2008;Dezembro;415.00;2141.08
2008;Novembro;415.00;2007.84
2008;Outubro;415.00;2014.73
2008;Setembro;415.00;1971.55
2008;Agosto;415.00;2025.99
2008;Julho;415.00;2178.30
2008;Junho;415.00;2072.70
2008;Maio;415.00;1987.51
2008;Abril;415.00;1918.12
2008;Março;415.00;1881.32
2008;Fevereiro;380.00;1900.31
2008;Janeiro;380.00;1924.59
2007;Dezembro;380.00;1803.11
2007;Novembro;380.00;1726.24
2007;Outubro;380.00;1797.56
2007;Setembro;380.00;1737.16
2007;Agosto;380.00;1733.88
2007;Julho;380.00;1688.35
2007;Junho;380.00;1628.96
2007;Maio;380.00;1620.64
2007;Abril;380.00;1672.56
2007;Março;350.00;1620.89
2007;Fevereiro;350.00;1562.25
2007;Janeiro;350.00;1565.61
2006;Dezembro;350.00;1564.52
2006;Novembro;350.00;1613.08
2006;Outubro;350.00;1510.00
2006;Setembro;350.00;1492.69
2006;Agosto;350.00;1442.62
2006;Julho;350.00;1436.74
2006;Junho;350.00;1447.58
2006;Maio;350.00;1503.70
2006;Abril;350.00;1536.96
2006;Março;300.00;1489.33
2006;Fevereiro;300.00;1474.71
2006;Janeiro;300.00;1496.56
2005;Dezembro;300.00;1607.11
2005;Novembro;300.00;1551.41
2005;Outubro;300.00;1468.24
2005;Setembro;300.00;1458.42
2005;Agosto;300.00;1471.18
2005;Julho;300.00;1497.23
2005;Junho;300.00;1538.56
2005;Maio;300.00;1588.80
2005;Abril;260.00;1538.64
2005;Março;260.00;1477.49
2005;Fevereiro;260.00;1474.96
2005;Janeiro;260.00;1452.28
2004;Dezembro;260.00;1468.08
2004;Novembro;260.00;1439.68
2004;Outubro;260.00;1510.67
2004;Setembro;260.00;1532.18
2004;Agosto;260.00;1596.11
2004;Julho;260.00;1527.56
2004;Junho;260.00;1538.06
2004;Maio;260.00;1522.01
2004;Abril;240.00;1386.47
2004;Março;240.00;1402.63
2004;Fevereiro;240.00;1422.46
2004;Janeiro;240.00;1445.39
2003;Dezembro;240.00;1420.61
2003;Novembro;240.00;1408.76
2003;Outubro;240.00;1391.37
2003;Setembro;240.00;1366.76
2003;Agosto;240.00;1359.03
2003;Julho;240.00;1396.50
2003;Junho;240.00;1421.62
2003;Maio;240.00;1478.16
2003;Abril;240.00;1557.55
2003;Março;200.00;1466.73
2003;Fevereiro;200.00;1399.10
2003;Janeiro;200.00;1385.91
2002;Dezembro;200.00;1378.19
2002;Novembro;200.00;1357.43
2002;Outubro;200.00;1270.40
2002;Setembro;200.00;1247.97
2002;Agosto;200.00;1168.92
2002;Julho;200.00;1154.63
2002;Junho;200.00;1129.18
2002;Maio;200.00;1121.53
2002;Abril;200.00;1143.29
2002;Março;180.00;1091.21
2002;Fevereiro;180.00;1084.91
2002;Janeiro;180.00;1116.66
2001;Dezembro;180.00;1101.54
2001;Novembro;180.00;1091.04
2001;Outubro;180.00;1081.04
2001;Setembro;180.00;1076.84
2001;Agosto;180.00;1070.46
2001;Julho;180.00;1055.84
2001;Junho;180.00;1072.14
2001;Maio;180.00;1090.28
2001;Abril;180.00;1092.97
2001;Março;151.00;1066.68
2001;Fevereiro;151.00;1037.02
2001;Janeiro;151.00;1036.35
2000;Dezembro;151.00;1004.26
2000;Novembro;151.00;1021.65
2000;Outubro;151.00;1030.05
2000;Setembro;151.00;1003.67
2000;Agosto;151.00;936.01
2000;Julho;151.00;936.12
2000;Junho;151.00;919.41
2000;Maio;151.00;939.06
2000;Abril;151.00;973.84
2000;Março;136.00;967.21
2000;Fevereiro;136.00;930.83
2000;Janeiro;136.00;942.76
1999;Dezembro;136.00;940.58
1999;Novembro;136.00;940.16
1999;Outubro;136.00;933.44
1999;Setembro;136.00;908.74
1999;Agosto;136.00;892.44
1999;Julho;136.00;870.76
1999;Junho;136.00;896.22
1999;Maio;136.00;882.53
1999;Abril;130.00;878.24
1999;Março;130.00;892.86
1999;Fevereiro;130.00;896.81
1999;Janeiro;130.00;880.93
1998;Dezembro;130.00;857.66
1998;Novembro;130.00;854.89
1998;Outubro;130.00;861.02
1998;Setembro;130.00;844.55
1998;Agosto;130.00;852.11
1998;Julho;130.00;882.78
1998;Junho;130.00;936.46
1998;Maio;130.00;942.09
1998;Abril;120.00;916.30
1998;Março;120.00;869.76
1998;Fevereiro;120.00;854.55
1998;Janeiro;120.00;864.88
1997;Dezembro;120.00;837.16
1997;Novembro;120.00;802.13
1997;Outubro;120.00;789.69
1997;Setembro;120.00;776.42
1997;Agosto;120.00;768.36
1997;Julho;120.00;770.37
1997;Junho;120.00;790.11
1997;Maio;120.00;820.86
1997;Abril;112.00;863.71
1997;Março;112.00;849.51
1997;Fevereiro;112.00;787.93
1997;Janeiro;112.00;774.40
1996;Dezembro;112.00;778.27
1996;Novembro;112.00;794.40
1996;Outubro;112.00;809.44
1996;Setembro;112.00;814.39
1996;Agosto;112.00;817.08
1996;Julho;112.00;823.21
1996;Junho;112.00;803.28
1996;Maio;112.00;801.95
1996;Abril;100.00;775.26
1996;Março;100.00;764.17
1996;Fevereiro;100.00;781.85
1996;Janeiro;100.00;781.35
1995;Dezembro;100.00;763.09
1995;Novembro;100.00;742.41
1995;Outubro;100.00;729.57
1995;Setembro;100.00;710.89
1995;Agosto;100.00;723.65
1995;Julho;100.00;729.99
1995;Junho;100.00;735.49
1995;Maio;100.00;773.18
1995;Abril;70.00;812.78
1995;Março;70.00;739.24
1995;Fevereiro;70.00;701.14
1995;Janeiro;70.00;723.82
1994;Dezembro;70.00;728.90
1994;Novembro;70.00;744.25
1994;Outubro;70.00;740.83
1994;Setembro;70.00;695.64
1994;Agosto;64.79;645.53
1994;Julho;64.79;590.33
